sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
楠梓,高雄市,106,細懸浮微粒,對敏感族群不健康,1.4,0.45,37,51,85,42,17,18.8,0.9,1.9,28,"2025/02/24 21:00:00",0.4,32,74,1,120.328289,22.733667,53
左營,高雄市,100,懸浮微粒,普通,1.4,0.46,34,54,78,40,21,22.2,1,1.4,350,"2025/02/24 21:00:00",0.3,29,75,1,120.292917,22.674861,54
前金,高雄市,99,懸浮微粒,普通,1,0.42,36,51,79,29,23,27.2,3.3,3.5,351,"2025/02/24 21:00:00",0.3,26,74,1,120.28676111,22.63390278,56
前鎮,高雄市,95,細懸浮微粒,普通,1.3,0.47,41,54,85,37,16,17.2,1,2.1,17,"2025/02/24 21:00:00",0.4,28,67,1,120.30833356,22.6044507,57
小港,高雄市,93,細懸浮微粒,普通,1,0.46,42,54,78,36,18,19.2,0.5,2.8,305,"2025/02/24 21:00:00",0.3,28,66,1,120.337736,22.565833,58
屏東,屏東縣,92,懸浮微粒,普通,1.4,0.44,44,52,82,40,16,16.9,0.3,1.6,312,"2025/02/24 21:00:00",0.4,26,68,0,120.488033,22.673081,59
潮州,屏東縣,100,細懸浮微粒,普通,1.6,0.41,47,64,90,39,14,14.5,0.2,3.3,300,"2025/02/24 21:00:00",0.3,30,67,1,120.561175,22.523108,60
恆春,屏東縣,49,,良好,0.5,0.25,52,53,11,6,2,2.4,0.1,11,36,"2025/02/24 21:00:00",0.2,5,9,0,120.788928,21.958069,61
臺東,臺東縣,44,,良好,0.2,0.34,41,48,11,6,5,6.8,0.9,1.9,321,"2025/02/24 21:00:00",0.3,4,13,0,121.15045,22.755358,62
花蓮,花蓮縣,44,,良好,0.5,0.32,48,48,17,8,4,5,0.2,2.3,63,"2025/02/24 21:00:00",0.3,6,13,0,121.599769,23.971306,63
陽明,臺北市,49,,良好,0.7,0.27,55,53,16,6,2,2.9,0.3,,,"2025/02/24 21:00:00",0.3,8,20,0,121.529583,25.182722,64
宜蘭,宜蘭縣,39,,良好,1.2,0.3,42,42,14,10,3,4.2,0.5,0.9,275,"2025/02/24 21:00:00",0.3,9,14,0,121.746394,24.747917,65
冬山,宜蘭縣,41,,良好,0.4,0.28,41,44,7,5,2,3.4,0.4,2.3,310,"2025/02/24 21:00:00",0.2,8,13,0,121.792928,24.632203,66
三重,新北市,100,細懸浮微粒,普通,1.3,0.77,20,15,42,27,36,67.8,31.6,-,-,"2025/02/24 21:00:00",0.9,30,46,0,121.493806,25.072611,67
中壢,桃園市,87,細懸浮微粒,普通,1.1,0.54,35,30,33,22,19,31.8,12.7,1.5,356,"2025/02/24 21:00:00",0.6,25,38,0,121.221667,24.953278,68
竹山,南投縣,74,細懸浮微粒,普通,1.1,0.38,25,44,39,26,13,14.8,0.9,1.1,31,"2025/02/24 21:00:00",0.3,20,35,1,120.677306,23.756389,69
永和,新北市,80,細懸浮微粒,普通,1,0.37,44,41,25,19,8,10.5,1.7,2,89,"2025/02/24 21:00:00",0.4,23,38,1,121.516306,25.017,70
復興,高雄市,91,細懸浮微粒,普通,1.1,0.47,41,55,73,38,16,16.9,0.8,1.5,272,"2025/02/24 21:00:00",0.4,27,64,1,120.312017,22.608711,71
埔里,南投縣,47,,良好,1.1,0.4,27,35,26,14,11,12,1,1.1,301,"2025/02/24 21:00:00",0.3,11,21,1,120.967903,23.968842,72
馬祖,連江縣,154,細懸浮微粒,對所有族群不健康,0.7,0.34,63,60,84,53,6,7.1,0.4,2.3,327,"2025/02/24 21:00:00",0.3,55,87,0,119.952724,26.153736,75
金門,金門縣,129,細懸浮微粒,對敏感族群不健康,0.9,0.37,52,59,59,53,8,8.7,0.6,2.3,56,"2025/02/24 21:00:00",0.4,41,54,0,118.312256,24.432133,77
馬公,澎湖縣,91,細懸浮微粒,普通,0.8,0.28,53,56,34,18,3,3.9,0.7,6.7,33,"2025/02/24 21:00:00",0.3,27,44,0,119.566158,23.569031,78
關山,臺東縣,44,,良好,1.1,0.32,46,48,13,7,3,3.8,0.4,2.4,30,"2025/02/24 21:00:00",0.2,6,20,0,121.161933,23.045083,80
麥寮,雲林縣,81,細懸浮微粒,普通,1.5,0.33,43,49,40,21,4,6.3,1.4,5.8,0,"2025/02/24 21:00:00",0.3,23,51,1,120.251825,23.753506,83
富貴角,新北市,94,細懸浮微粒,普通,0.4,0.22,59,57,63,26,2,2,0,7.1,76,"2025/02/24 21:00:00",0.2,28,55,0,121.53656894,25.29681695,84
大城,彰化縣,76,細懸浮微粒,普通,1.1,0.31,46,52,34,25,4,6.6,1.7,7.6,40,"2025/02/24 21:00:00",0.3,21,43,1,120.26964167,23.85493056,85
員林,彰化縣,58,細懸浮微粒,普通,1.2,0.4,33,44,25,21,10,11.5,1.3,1.4,6,"2025/02/24 21:00:00",0.3,15,24,1,120.5631893,23.9615945,139
宜蘭（頭城）,宜蘭縣,57,細懸浮微粒,普通,1,0.3,38,43,22,12,5,6.6,0.6,2.5,247,"2025/02/24 21:00:00",0.3,14,23,0,121.82463916,24.85366672,201
高雄（湖內）,高雄市,92,細懸浮微粒,普通,1.5,0.39,39,53,53,29,12,13.4,0.5,1.1,239,"2025/02/24 21:00:00",0.3,27,55,1,120.24535,22.87985556,202
臺南（麻豆）,臺南市,85,細懸浮微粒,普通,0.1,0.35,36,50,50,23,10,11.5,1,2.6,1,"2025/02/24 21:00:00",0.3,24,61,0,120.24583056,23.17904722,203
屏東（琉球）,屏東縣,93,臭氧八小時,普通,1.4,0.31,62,68,69,27,5,6.2,0.5,3.6,316,"2025/02/24 21:00:00",0.3,24,58,3,120.37722,22.35222,204
台中市（和平區消防隊）,臺中市,38,,良好,0.1,0.36,25,37,23,13,7,8.4,1.2,0.1,307,"2025/02/24 21:00:00",0.3,9,19,0,120.883858,24.174592,310
新北（樹林）,新北市,65,細懸浮微粒,普通,0,0.35,27,26,15,13,13,16.4,3.2,0.4,156,"2025/02/24 21:00:00",0.3,17,25,0,121.38352778,24.94902778,311
花蓮（美崙）,花蓮縣,44,,良好,0,0.24,50,48,16,11,3,3.5,0.5,2.6,34,"2025/02/24 21:00:00",0.2,7,15,0,121.61575076,23.97709367,312
屏東(枋山),屏東縣,58,臭氧八小時,普通,0,0.31,52,57,3,0,2,2.9,0,4.7,84,"2025/02/24 21:00:00",0.3,7,,0,120.651472,22.260899,313
