縣市,學生數,輟學數,復學數,年度,學制,輟減復
苗栗縣,15821,64,56,106,國中,8
彰化縣,37699,112,104,106,國中,8
南投縣,14420,59,51,106,國中,8
雲林縣,21193,63,57,106,國中,6
嘉義縣,12204,25,19,106,國中,6
屏東縣,22393,113,98,106,國中,15
臺東縣,6304,51,46,106,國中,5
花蓮縣,9584,96,79,106,國中,17
澎湖縣,2357,7,7,106,國中,0
基隆市,9599,78,62,106,國中,16
新竹市,15240,62,60,106,國中,2
嘉義市,9870,14,14,106,國中,0
金門縣,1949,3,3,106,國中,0
連江縣,227,0,0,106,國中,0
新北市,97529,680,562,107 ,國中,118
臺北市,64788,142,118,107 ,國中,24
桃園市,65266,383,299,107 ,國中,84
臺中市,80600,289,236,107 ,國中,53
臺南市,48994,147,126,107 ,國中,21
高雄市,70105,250,225,107 ,國中,25
宜蘭縣,13345,42,35,107 ,國中,7
新竹縣,16987,87,67,107 ,國中,20
苗栗縣,14917,70,59,107 ,國中,11
彰化縣,35300,107,100,107 ,國中,7
南投縣,13498,67,58,107 ,國中,9
雲林縣,19974,75,70,107 ,國中,5
嘉義縣,11278,33,26,107 ,國中,7
屏東縣,21078,120,98,107 ,國中,22
臺東縣,6049,45,36,107 ,國中,9
花蓮縣,9099,97,87,107 ,國中,10
澎湖縣,2199,4,3,107 ,國中,1
基隆市,9033,69,59,107 ,國中,10
新竹市,15074,56,50,107 ,國中,6
嘉義市,9249,15,14,107 ,國中,1
金門縣,1864,3,3,107 ,國中,0
連江縣,217,1,1,107 ,國中,0
新北市,93369,685,613,108,國中,72
臺北市,64913,146,129,108,國中,17
桃園市,63464,379,311,108,國中,68
臺中市,78841,220,191,108,國中,29
臺南市,47817,146,130,108,國中,16
高雄市,68626,269,243,108,國中,26
宜蘭縣,12610,46,39,108,國中,7
新竹縣,16889,89,69,108,國中,20
苗栗縣,14464,85,77,108,國中,8
彰化縣,32533,137,114,108,國中,23
南投縣,12465,74,60,108,國中,14
雲林縣,19121,72,63,108,國中,9
嘉義縣,10673,32,25,108,國中,7
屏東縣,20036,111,86,108,國中,25
臺東縣,5794,45,42,108,國中,3
花蓮縣,8712,64,58,108,國中,6
澎湖縣,2064,4,2,108,國中,2
基隆市,8669,71,67,108,國中,4
新竹市,15171,49,45,108,國中,4
嘉義市,9092,8,7,108,國中,1
金門縣,1839,8,7,108,國中,1
連江縣,241,1,1,108,國中,0
新北市,92200,511,478,109,國中,33
臺北市,64717,134,116,109,國中,18
桃園市,63649,340,296,109,國中,44
臺中市,76237,168,152,109,國中,16
臺南市,46909,123,107,109,國中,16
高雄市,67371,242,229,109,國中,13
宜蘭縣,11608,34,31,109,國中,3
新竹縣,17432,82,68,109,國中,14
苗栗縣,14074,60,53,109,國中,7
彰化縣,32109,99,91,109,國中,8
南投縣,12149,40,33,109,國中,7
雲林縣,18332,58,53,109,國中,5
嘉義縣,9962,28,20,109,國中,8
屏東縣,18885,115,90,109,國中,25
臺東縣,5586,33,28,109,國中,5
花蓮縣,8787,74,63,109,國中,11
澎湖縣,1903,5,5,109,國中,0
基隆市,8464,79,71,109,國中,8
新竹市,15416,41,37,109,國中,4
嘉義市,8757,9,5,109,國中,4
金門縣,1854,7,5,109,國中,2
連江縣,257,0,0,109,國中,0
新北市,93724,417,378,110,國中,39
臺北市,66310,79,72,110,國中,7
桃園市,62159,281,255,110,國中,26
臺中市,77070,150,140,110,國中,10
臺南市,46867,108,104,110,國中,4
高雄市,65104,179,164,110,國中,15
宜蘭縣,11796,26,22,110,國中,4
新竹縣,17592,88,74,110,國中,14
苗栗縣,13279,65,58,110,國中,7
彰化縣,31063,91,78,110,國中,13
南投縣,11164,57,54,110,國中,3
雲林縣,17484,54,49,110,國中,5
嘉義縣,9281,31,29,110,國中,2
屏東縣,17888,98,75,110,國中,23
臺東縣,5560,28,28,110,國中,0
花蓮縣,8257,64,57,110,國中,7
澎湖縣,1808,3,3,110,國中,0
基隆市,8097,71,60,110,國中,11
新竹市,15729,38,36,110,國中,2
嘉義市,8504,9,7,110,國中,2
金門縣,1872,6,6,110,國中,0
連江縣,247,0,0,110,國中,0
